PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
50S ribosomal protein L25 rplY	Rv1015c	Mycobacterium tuberculosis H37Rv complete genome.	PF01386.12	Ribosomal_L25p	Ribosomal L25p family	1134284	1134544	261	89.7	7.8E-26
lipoprotein lpqT	Rv1016c	Mycobacterium tuberculosis H37Rv complete genome.	PF10738.1	Lpp-LpqN	Probable lipoprotein LpqN	1134791	1135465	675	456.0299987792969	0.0
lipoprotein lpqT	Rv1016c	Mycobacterium tuberculosis H37Rv complete genome.	PF10738.2	Lpp-LpqN	Probable lipoprotein LpqN	1134791	1135465	675	278.1	3.6E-83
ribose-phosphate pyrophosphokinase prsA	Rv1017c	Mycobacterium tuberculosis H37Rv complete genome.	PF00156.20	Pribosyltran	Phosphoribosyl transferase domain	1135702	1136031	330	47.6	9.8E-13
ribose-phosphate pyrophosphokinase prsA	Rv1017c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01251	TIGR01251	ribP_PPkin: ribose-phosphate diphosphokinase	1135513	1136448	936	401.1	5.3E-121
ribose-phosphate pyrophosphokinase prsA	Rv1017c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01251	ribP_PPkin	ribose-phosphate diphosphokinase	1135513	1136448	936	458.6700134277344	0.0
ribose-phosphate pyrophosphokinase prsA	Rv1017c	Mycobacterium tuberculosis H37Rv complete genome.	PF00156.19	Pribosyltran	Phosphoribosyl transferase domain	1135702	1136031	330	83.4800033569336	7.699999856618719E-22
ribose-phosphate pyrophosphokinase prsA	Rv1017c	Mycobacterium tuberculosis H37Rv complete genome.	PF00156.19	Pribosyltran	Phosphoribosyl transferase domain	1135645	1136043	399	120.5	4.599999962277455E-33
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00132.16	Hexapep	Bacterial transferase hexapeptide (three repeats)	1136741	1136794	54	11.600000381469727	2.9000000953674316
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00132.16	Hexapep	Bacterial transferase hexapeptide (three repeats)	1136921	1136974	54	8.699999809265137	13.0
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00132.16	Hexapep	Bacterial transferase hexapeptide (three repeats)	1137026	1137079	54	9.300000190734863	11.0
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00132.16	Hexapep	Bacterial transferase hexapeptide (three repeats)	1137125	1137178	54	11.699999809265137	2.700000047683716
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00132.16	Hexapep	Bacterial transferase hexapeptide (three repeats)	1137179	1137232	54	15.899999618530273	0.15000000596046448
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00483.15	NTP_transferase	Nucleotidyl transferase	1137329	1138039	711	-3.0999999046325684	1.8999999351621E-9
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00483.15	NTP_transferase	Nucleotidyl transferase	1137329	1138039	711	-2.7200000286102295	3.7999998880877683E-7
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01173	glmU	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	1136663	1138042	1380	976.5499877929688	0.0
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01173	TIGR01173	glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	1136663	1138042	1380	598.6	0.0
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF00483.16	NTP_transferase	Nucleotidyl transferase	1137230	1138039	810	64.6	6.5E-18
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF01128.12	IspD	Uncharacterized protein family UPF0007	1137311	1138042	732	43.2	2.4E-11
UDP-N-acetylglucosamine pyrophosphorylase glmU	Rv1018c	Mycobacterium tuberculosis H37Rv complete genome.	PF01128.11	IspD	Uncharacterized protein family UPF0007	1137314	1138042	729	-77.80000305175781	2.800000074785203E-4
transcriptional regulator, tetR-family	Rv1019	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.15	TetR_N	Bacterial regulatory proteins, tetR family	1138342	1138482	141	70.69999694824219	4.7000001222665944E-18
transcriptional regulator, tetR-family	Rv1019	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.15	TetR_N	Bacterial regulatory proteins, tetR family	1138342	1138482	141	70.70999908447266	5.400000061278369E-18
transcriptional regulator, tetR-family	Rv1019	Mycobacterium tuberculosis H37Rv complete genome.	PF00440.16	TetR_N	Bacterial regulatory proteins, tetR family	1138342	1138482	141	62.0	2.4E-17
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF02559.8	CarD_TRCF	CarD-like/TRCF domain	1140515	1140829	315	160.8699951171875	4.203895392974451E-45
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF03461.7	TRCF	TRCF domain	1142141	1142464	324	132.33999633789062	1.5000000090671439E-36
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF00271.23	Helicase_C	Helicase conserved C-terminal domain	1141598	1141831	234	68.9000015258789	1.600000073301928E-17
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF00270.21	DEAD	DEAD/DEAH box helicase	1140914	1141408	495	131.6999969482422	2.0000000718782596E-36
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF02559.8	CarD_TRCF	CarD-like/TRCF domain	1140515	1140829	315	160.6999969482422	4.203895392974451E-45
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF04851.8	ResIII	Type III restriction enzyme, res subunit	1140905	1141390	486	22.4	6.8E-5
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF00271.24	Helicase_C	Helicase conserved C-terminal domain	1141604	1141831	228	43.9	1.2E-11
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF00270.22	DEAD	DEAD/DEAH box helicase	1140914	1141405	492	61.8	4.1E-17
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF03461.8	TRCF	TRCF domain	1142141	1142437	297	84.0	4.3E-24
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF02559.9	CarD_TRCF	CarD-like/TRCF domain	1140515	1140829	315	96.8	4.7E-28
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00580	TIGR00580	mfd: transcription-repair coupling factor	1139477	1142365	2889	1236.0	0.0
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00580	mfd	transcription-repair coupling factor	1139477	1142365	2889	2006.1800537109375	0.0
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF00271.23	Helicase_C	Helicase conserved C-terminal domain	1141598	1141831	234	69.58999633789062	1.2000000136174153E-17
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF00270.21	DEAD	DEAD/DEAH box helicase	1140914	1141408	495	133.25999450683594	7.899999683042344E-37
transcription-repair coupling factor mfd	Rv1020	Mycobacterium tuberculosis H37Rv complete genome.	PF03461.7	TRCF	TRCF domain	1142141	1142464	324	132.3000030517578	1.2999999660060772E-36
conserved hypothetical protein	Rv1021	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00444	mazG	MazG family protein	1142947	1143579	633	51.41999816894531	3.499999959756669E-16
conserved hypothetical protein	Rv1021	Mycobacterium tuberculosis H37Rv complete genome.	PF03819.10	MazG	MazG nucleotide pyrophosphohydrolase domain	1142989	1143216	228	85.3	1.6E-24
conserved hypothetical protein	Rv1021	Mycobacterium tuberculosis H37Rv complete genome.	PF03819.9	MazG	MazG nucleotide pyrophosphohydrolase domain	1142989	1143216	228	129.42999267578125	1.0999999767548716E-35
conserved hypothetical protein	Rv1021	Mycobacterium tuberculosis H37Rv complete genome.	PF03819.9	MazG	MazG nucleotide pyrophosphohydrolase domain	1142989	1143216	228	130.10000610351562	6.299999697286218E-36
enolase eno	Rv1023	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01060	eno	phosphopyruvate hydratase	1144573	1145835	1263	1085.9100341796875	0.0
enolase eno	Rv1023	Mycobacterium tuberculosis H37Rv complete genome.	PF03952.8	Enolase_N	Enolase, N-terminal domain	1144570	1144962	393	213.63999938964844	0.0
enolase eno	Rv1023	Mycobacterium tuberculosis H37Rv complete genome.	PF03952.9	Enolase_N	Enolase, N-terminal domain	1144570	1144962	393	193.4	9.5E-58
enolase eno	Rv1023	Mycobacterium tuberculosis H37Rv complete genome.	PF03952.8	Enolase_N	Enolase, N-terminal domain	1144570	1144962	393	213.60000610351562	0.0
enolase eno	Rv1023	Mycobacterium tuberculosis H37Rv complete genome.	PF00113.15	Enolase_C	Enolase, C-terminal TIM barrel domain	1144975	1145832	858	411.1	1.5E-123
enolase eno	Rv1023	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01060	TIGR01060	eno: phosphopyruvate hydratase	1144573	1145835	1263	680.3	0.0
enolase eno	Rv1023	Mycobacterium tuberculosis H37Rv complete genome.	PF00113.14	Enolase_C	Enolase, C-terminal TIM barrel domain	1144975	1145835	861	550.0999755859375	0.0
enolase eno	Rv1023	Mycobacterium tuberculosis H37Rv complete genome.	PF00113.14	Enolase_C	Enolase, C-terminal TIM barrel domain	1144975	1145835	861	550.2000122070312	0.0
conserved membrane protein	Rv1024	Mycobacterium tuberculosis H37Rv complete genome.	PF04977.8	DivIC	Septum formation initiator	1146113	1146349	237	64.3	4.1E-18
conserved membrane protein	Rv1024	Mycobacterium tuberculosis H37Rv complete genome.	PF04977.7	DivIC	Septum formation initiator	1146113	1146349	237	84.0999984741211	4.299999762567551E-22
conserved membrane protein	Rv1024	Mycobacterium tuberculosis H37Rv complete genome.	PF04977.7	DivIC	Septum formation initiator	1146113	1146349	237	84.11000061035156	4.999999841327613E-22
conserved hypothetical protein	Rv1025	Mycobacterium tuberculosis H37Rv complete genome.	PF04417.5	DUF501	Protein of unknown function (DUF501)	1146606	1146977	372	147.3	1.8E-43
conserved hypothetical protein	Rv1025	Mycobacterium tuberculosis H37Rv complete genome.	PF04417.4	DUF501	Protein of unknown function (DUF501)	1146606	1146977	372	282.6099853515625	0.0
conserved hypothetical protein	Rv1025	Mycobacterium tuberculosis H37Rv complete genome.	PF04417.4	DUF501	Protein of unknown function (DUF501)	1146600	1146977	378	259.6000061035156	0.0
conserved hypothetical protein	Rv1026	Mycobacterium tuberculosis H37Rv complete genome.	PF02541.8	Ppx-GppA	Ppx/GppA phosphatase family	1147073	1147969	897	451.7699890136719	0.0
conserved hypothetical protein	Rv1026	Mycobacterium tuberculosis H37Rv complete genome.	PF02541.9	Ppx-GppA	Ppx/GppA phosphatase family	1147073	1147969	897	306.7	1.1E-91
conserved hypothetical protein	Rv1026	Mycobacterium tuberculosis H37Rv complete genome.	PF02541.8	Ppx-GppA	Ppx/GppA phosphatase family	1147073	1147969	897	451.70001220703125	0.0
transcriptional regulator kdpE	Rv1027c	Mycobacterium tuberculosis H37Rv complete genome.	PF00486.21	Trans_reg_C	Transcriptional regulatory protein, C terminal	1148436	1148666	231	79.5	9.7E-23
transcriptional regulator kdpE	Rv1027c	Mycobacterium tuberculosis H37Rv complete genome.	PF00072.17	Response_reg	Response regulator receiver domain	1148769	1149098	330	90.4	5.4E-26
transcriptional regulator kdpE	Rv1027c	Mycobacterium tuberculosis H37Rv complete genome.	PF00486.20	Trans_reg_C	Transcriptional regulatory protein, C terminal	1148436	1148666	231	77.69000244140625	4.1999998667151947E-20
transcriptional regulator kdpE	Rv1027c	Mycobacterium tuberculosis H37Rv complete genome.	PF00072.16	Response_reg	Response regulator receiver domain	1148769	1149098	330	133.27000427246094	7.899999683042344E-37
transcriptional regulator kdpE	Rv1027c	Mycobacterium tuberculosis H37Rv complete genome.	PF00072.16	Response_reg	Response regulator receiver domain	1148769	1149104	336	131.10000610351562	3.199999971512253E-36
transcriptional regulator kdpE	Rv1027c	Mycobacterium tuberculosis H37Rv complete genome.	PF00486.20	Trans_reg_C	Transcriptional regulatory protein, C terminal	1148436	1148666	231	71.19999694824219	3.199999898449672E-18
membrane protein kdpF	Rv1028A	Mycobacterium tuberculosis H37Rv complete genome.	PF09604.2	Potass_KdpF	F subunit of K+-transporting ATPase (Potass_KdpF)	1151935	1152009	75	41.66999816894531	3.000000026176508E-9
membrane protein kdpF	Rv1028A	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02115	potass_kdpF	K+-transporting ATPase, F subunit	1151938	1152009	72	40.5	2.2999999682582484E-9
membrane protein kdpF	Rv1028A	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02115	TIGR02115	potass_kdpF: K+-transporting ATPase, F subunit	1151938	1152009	72	38.7	1.3E-10
membrane protein kdpF	Rv1028A	Mycobacterium tuberculosis H37Rv complete genome.	PF09604.3	Potass_KdpF	F subunit of K+-transporting ATPase (Potass_KdpF)	1151935	1152009	75	41.8	4.8E-11
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF00582.18	Usp	Universal stress protein family	1150556	1150930	375	58.5	2.3000000612827948E-14
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF00582.19	Usp	Universal stress protein family	1150559	1150930	372	58.7	5.4E-16
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.19	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1149119	1149445	327	72.6	1.5E-20
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF02702.10	KdpD	Osmosensitive K+ channel His kinase sensor domain	1150985	1151617	633	330.0	3.2E-99
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF00582.18	Usp	Universal stress protein family	1150556	1150930	375	58.52000045776367	2.499999956129175E-14
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF00512.18	HisKA	His Kinase A (phosphoacceptor) domain	1149587	1149793	207	49.7	2.1E-13
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF02702.9	KdpD	Osmosensitive K+ channel His kinase sensor domain	1150985	1151611	627	516.0999755859375	0.0
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF00512.17	HisKA	His Kinase A (phosphoacceptor) domain	1149587	1149793	207	67.0	5.900000053165949E-17
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.18	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1149119	1149445	327	112.5999984741211	1.2000000226132018E-30
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF02702.9	KdpD	Osmosensitive K+ channel His kinase sensor domain	1150985	1151617	633	523.7100219726562	0.0
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.18	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1149119	1149445	327	113.18000030517578	8.799999915058019E-31
sensor protein kdpD	Rv1028c	Mycobacterium tuberculosis H37Rv complete genome.	PF00512.17	HisKA	His Kinase A (phosphoacceptor) domain	1149587	1149793	207	67.05000305175781	6.799999691147734E-17
potassium-transporting ATPase A chain kdpA	Rv1029	Mycobacterium tuberculosis H37Rv complete genome.	PF03814.7	KdpA	Potassium-transporting ATPase A subunit	1152030	1153721	1692	1353.3900146484375	0.0
potassium-transporting ATPase A chain kdpA	Rv1029	Mycobacterium tuberculosis H37Rv complete genome.	PF03814.7	KdpA	Potassium-transporting ATPase A subunit	1152030	1153721	1692	1353.4000244140625	0.0
potassium-transporting ATPase A chain kdpA	Rv1029	Mycobacterium tuberculosis H37Rv complete genome.	PF03814.8	KdpA	Potassium-transporting ATPase A subunit	1152030	1153721	1692	833.3	0.0
potassium-transporting ATPase A chain kdpA	Rv1029	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00680	TIGR00680	kdpA: K+-transporting ATPase, A subunit	1152012	1153724	1713	1030.1	0.0
potassium-transporting ATPase A chain kdpA	Rv1029	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00680	kdpA	K+-transporting ATPase, A subunit	1152012	1153724	1713	1575.56005859375	0.0
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	PF00702.19	Hydrolase	haloacid dehalogenase-like hydrolase	1154675	1155394	720	84.3	9.2E-24
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01494	TIGR01494	ATPase_P-type: HAD ATPase, P-type, family IC	1153994	1154842	849	239.3	1.3E-71
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01494	TIGR01494	ATPase_P-type: HAD ATPase, P-type, family IC	1154864	1155634	771	239.3	1.3E-71
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	PF00122.13	E1-E2_ATPase	E1-E2 ATPase	1153994	1154665	672	120.5	4.2E-35
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01497	TIGR01497	kdpB: K+-transporting ATPase, B subunit	1153787	1155835	2049	1026.3	0.0
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01494	ATPase_P-type	ATPase, P-type (transporting), HAD superfamily, subfamily IC	1155122	1155634	513	238.24000549316406	0.0
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01494	ATPase_P-type	ATPase, P-type (transporting), HAD superfamily, subfamily IC	1153994	1154752	759	238.24000549316406	0.0
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01497	kdpB	K+-transporting ATPase, B subunit	1153796	1155835	2040	1377.550048828125	0.0
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	PF00122.12	E1-E2_ATPase	E1-E2 ATPase	1153994	1154665	672	207.8000030517578	0.0
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	PF00702.18	Hydrolase	haloacid dehalogenase-like hydrolase	1154675	1155421	747	109.5	9.50000003012523E-30
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	PF00122.12	E1-E2_ATPase	E1-E2 ATPase	1153994	1154665	672	157.02999877929688	5.465064010866787E-44
potassium-transporting ATPase B chain kdpB	Rv1030	Mycobacterium tuberculosis H37Rv complete genome.	PF00702.18	Hydrolase	haloacid dehalogenase-like hydrolase	1154675	1155421	747	110.12999725341797	7.299999722222307E-30
